X,Y,COND1,COND2,COND3,COND4,COND5,COND6
160.1541969,196.7704855,7.74685,7.222,7.10018,8.35042,8.54384,9.58508
161.1551606,196.7704855,8.04598,7.48628,7.37864,8.61651,8.84491,9.88907
119.1146839,195.7716505,5.34978,4.58964,4.02818,5.14328,4.56515,5.33546
120.1156477,195.7716505,5.33381,4.58017,4.03534,5.16572,4.61064,5.39474
121.1166114,195.7716505,5.3521,4.62601,4.10599,5.25359,4.73629,5.53901
122.1175751,195.7716505,5.37038,4.67185,4.17665,5.34146,4.86193,5.68329
123.1185389,195.7716505,5.38867,4.71769,4.2473,5.42934,4.98757,5.82756
124.1195026,195.7716505,5.39782,4.80708,4.33209,5.50179,5.05853,5.89188
125.1204663,195.7716505,5.40136,4.92323,4.42556,5.56478,5.09588,5.90707
126.1214301,195.7716505,5.40489,5.03938,4.51903,5.62777,5.13323,5.92227
127.1223938,195.7716505,5.40843,5.15554,4.6125,5.69075,5.17059,5.93746
128.1233575,195.7716505,5.40624,5.07341,4.55055,5.65394,5.15776,5.94365
129.1243212,195.7716505,5.4006,4.87143,4.39464,5.55679,5.1146,5.94441
130.125285,195.7716505,5.39495,4.66944,4.23874,5.45964,5.07144,5.94516
131.1262487,195.7716505,5.38931,4.46745,4.08283,5.3625,5.02828,5.94592
132.1272124,195.7716505,5.44803,4.49424,4.11289,5.39289,5.06482,5.98425
133.1281762,195.7716505,5.54503,4.65706,4.25353,5.49913,5.14877,6.04493
134.1291399,195.7716505,5.64202,4.81989,4.39418,5.60537,5.23272,6.1056
135.1301036,195.7716505,5.73902,4.98271,4.53482,5.71161,5.31666,6.16628
136.1310674,195.7716505,5.77357,5.05768,4.61401,5.78746,5.40271,6.25331
137.1320311,195.7716505,5.77159,5.08126,4.65725,5.84552,5.48998,6.35576
138.1329948,195.7716505,5.76961,5.10483,4.70049,5.90359,5.57725,6.4582
139.1339585,195.7716505,5.76763,5.12841,4.74372,5.96166,5.66453,6.56065
140.1349223,195.7716505,5.84083,5.19454,4.81933,6.0393,5.75932,6.66098
141.135886,195.7716505,5.95729,5.28516,4.91356,6.1282,5.85845,6.7601
142.1368497,195.7716505,6.07374,5.37577,5.00779,6.2171,5.95758,6.85921
143.1378135,195.7716505,6.19019,5.46638,5.10201,6.30601,6.05671,6.95833
144.1387772,195.7716505,6.22272,5.56503,5.19529,6.38542,6.13405,7.02811
145.1397409,195.7716505,6.20777,5.66822,5.28802,6.45947,6.19907,7.0813
146.1407047,195.7716505,6.19281,5.77141,5.38075,6.53351,6.26409,7.13449
147.1416684,195.7716505,6.17785,5.8746,5.47349,6.60756,6.32911,7.18768
