X,Y,K,U,Th,TC
9150,8550,27.3398,1.57436,8.36071,553.64146
9200,8550,22.59078,1.62815,7.63086,522.75672
9250,8550,22.54991,1.25031,5.38612,512.97387
9300,8550,24.12179,3.5212,4.67374,526.83661
9350,8550,24.91958,4.21317,3.81862,512.88111
9400,8550,25.24729,3.1389,3.24481,480.72551
9450,8550,22.55899,0.25349,4.14601,444.05891
9500,8550,15.22742,-1.32002,2.56425,326.15006
9550,8550,7.98117,-2.60089,0.89844,217.59979
9600,8550,3.46813,-3.59966,0.02575,141.45441
9650,8550,3.76083,-3.73983,-0.62156,103.04058
9700,8550,-1.37145,-2.95985,-0.64331,59.19811
9750,8550,-4.8198,-2.08762,-0.48392,28.62081
9800,8550,-6.71372,-1.13523,-0.08609,9.7732
9850,8550,-7.51259,-0.49671,0.52138,-3.90875
9900,8550,-3.7435,-2.10051,1.39907,-20.89102
8100,8500,30.53419,19.70488,12.97083,712.83033
8150,8500,23.15515,16.61565,10.90272,593.6849
8200,8500,16.89463,14.17526,9.45624,486.2567
8250,8500,12.66393,12.40029,8.19171,409.51696
8300,8500,9.64136,10.10976,6.78575,351.41799
8350,8500,6.43524,6.73577,4.85416,300.37675
8400,8500,2.97547,3.38343,2.81197,259.00135
8450,8500,-0.00863,1.70383,1.50481,237.21994
8500,8500,-0.29318,0.2228,0.47934,219.4099
8550,8500,1.27154,-1.42822,-0.63192,207.63599
8600,8500,3.75827,-2.49937,-1.45198,208.91009
8650,8500,1.82684,-1.36918,-1.05706,209.22546
8700,8500,1.96438,0.43887,-0.22821,231.73609
8750,8500,3.35997,2.38408,0.48204,269.72547
8800,8500,4.20544,4.41828,0.45359,318.10289
8850,8500,5.62803,6.73746,-0.52324,381.94239
8900,8500,16.69914,5.93702,2.87191,474.86631
8950,8500,29.53444,5.20586,6.54938,586.45133
9000,8500,42.63405,3.78914,10.78536,704.25726
9050,8500,52.63435,0.50172,15.54653,792.00557
9100,8500,47.12374,3.65261,14.40846,784.47556
9150,8500,41.94947,6.5356,12.59857,756.97684
9200,8500,39.48501,8.41521,11.39685,740.48447
9250,8500,39.47044,9.97896,10.25828,739.9379
9300,8500,31.91659,7.77594,7.80908,645.77391
9350,8500,24.78622,4.89196,5.75168,537.21919
9400,8500,19.75215,1.68149,4.67962,424.69699
9450,8500,15.04002,-1.99426,4.66468,316.02417
9500,8500,8.25017,-2.36934,2.70657,224.30317
9550,8500,1.83116,-2.4453,1.24916,145.50499
9600,8500,-3.51211,-2.15086,0.68889,89.86369
9650,8500,-7.52179,-1.49802,1.0358,57.96586
9700,8500,-6.8581,-2.16421,-0.02091,30.39864
9750,8500,-5.85912,-2.4975,-0.66992,12.96428
9800,8500,-4.71704,-1.95181,-0.6623,6.08232
9850,8500,-3.75289,-0.74896,0.00295,6.04403
9900,8500,-1.61221,-2.21719,0.53313,-22.92562
7850,8450,42.34498,19.06023,17.47117,812.1311
8050,8450,29.1964,18.76525,12.3365,766.07111
8100,8450,21.29435,15.018,9.71144,649.03755
8150,8450,12.49345,10.65778,7.13785,506.23162
8200,8450,5.21147,7.75945,5.62151,383.88459
8250,8450,1.66315,6.8142,4.53999,319.77016
8300,8450,0.2776,5.3541,3.64707,277.57747
8350,8450,-1.2267,2.65993,2.32786,241.26523
8400,8450,-3.75338,-0.25203,0.72832,212.00806
8450,8450,-6.87577,0.2523,0.52305,216.10611
8500,8450,-5.4952,-0.37354,0.14078,211.83754
8550,8450,-3.15661,-1.07313,-0.37666,208.74103
8600,8450,-1.4618,-0.87672,-0.60101,213.76367
8650,8450,-1.88857,0.7489,-0.21089,222.94375
8700,8450,0.4415,2.47746,0.2429,254.88354
8750,8450,4.52486,3.96262,0.83083,303.24618
8800,8450,9.04786,4.43888,1.42884,363.43683
8850,8450,15.15466,4.70418,2.48688,440.64601
8900,8450,23.73624,6.95006,5.24304,554.81237
8950,8450,33.7665,8.65999,9.0688,685.76242
9000,8450,41.69936,9.75366,13.68165,818.28582
9150,8450,48.82853,12.15678,15.32798,898.77191
9200,8450,47.35253,13.34021,14.17651,870.52655
9250,8450,43.38178,13.7691,12.6915,822.88835
9300,8450,33.95764,10.79723,9.69992,708.28162
9350,8450,22.7136,6.72419,6.6853,548.41345
9400,8450,12.58698,3.12729,4.4779,371.25628
9450,8450,3.76101,0.99675,2.69553,214.98998
9500,8450,-0.11961,-1.39759,1.96722,123.81
9550,8450,-3.9194,-1.91003,0.84062,63.94095
9600,8450,-7.41996,-1.59535,0.03476,24.02846
9650,8450,-9.40435,-1.50137,-0.31287,-0.10783
9700,8450,-8.53827,-2.20139,-0.56472,-2.98258
9750,8450,-5.04637,-3.41127,-1.11684,-3.74969
9800,8450,-0.50719,-4.13852,-1.50638,-5.71956
9850,8450,3.76678,-4.49369,-1.55208,-16.0035
9900,8450,2.61153,-3.98165,-0.79755,-31.02505
7800,8400,35.98597,14.86182,16.83421,738.95553
8000,8400,25.83498,15.02093,11.03099,708.56258
