X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
2400,5400,0.0322,0.0398,0.0624,0.0574,0.11,0.275,0.3634,0.3577,0.4231,0.0891,0.0107,0.2258,0.1173
2450,5400,0.0338,0.0379,0.0571,0.0551,0.1021,0.2365,0.3002,0.2969,0.3529,0.0802,0.0107,0.2209,0.1157
2500,5400,0.0311,0.0305,0.0448,0.0403,0.079,0.2078,0.2639,0.2602,0.3081,0.0735,0.0107,0.192,0.0993
2550,5400,0.0285,0.0294,0.0395,0.0394,0.0665,0.1599,0.2019,0.1991,0.2388,0.0665,0.0107,0.1972,0.1198
2600,5400,0.0281,0.0291,0.0372,0.041,0.0615,0.1338,0.172,0.1703,0.2072,0.0635,0.0106,0.2213,0.1509
2650,5400,0.0279,0.028,0.0364,0.0389,0.0605,0.1417,0.1854,0.1838,0.2213,0.0662,0.0107,0.229,0.1581
2700,5400,0.0279,0.0286,0.038,0.0397,0.0643,0.1578,0.2095,0.2071,0.2498,0.0706,0.0107,0.2428,0.165
2750,5400,0.0284,0.029,0.0415,0.0398,0.0728,0.1993,0.2671,0.2657,0.3161,0.077,0.0108,0.2379,0.1498
2800,5400,0.0284,0.0293,0.0416,0.041,0.073,0.1953,0.259,0.2586,0.3084,0.0729,0.0108,0.2382,0.1491
2850,5400,0.0284,0.0289,0.0394,0.0422,0.0681,0.1624,0.2113,0.2122,0.2556,0.064,0.0108,0.2477,0.1633
2900,5400,0.0282,0.0285,0.0361,0.041,0.0593,0.1207,0.153,0.1528,0.1874,0.0542,0.0107,0.241,0.1711
2950,5400,0.0288,0.0296,0.0367,0.0425,0.0594,0.1124,0.1411,0.1418,0.173,0.0485,0.0106,0.2403,0.1736
3000,5400,0.0301,0.032,0.0385,0.0461,0.0606,0.1024,0.1266,0.1281,0.1555,0.0435,0.0107,0.2357,0.1731
3050,5400,0.0312,0.0319,0.0372,0.0462,0.0575,0.0843,0.1027,0.1048,0.1285,0.0384,0.0108,0.2351,0.1788
3100,5400,0.0319,0.0326,0.038,0.0472,0.0583,0.0825,0.1001,0.1024,0.1261,0.0375,0.0108,0.2364,0.1807
3150,5400,0.0321,0.0329,0.0385,0.0481,0.0602,0.0874,0.1071,0.1093,0.135,0.0389,0.0107,0.2464,0.1862
3200,5400,0.0322,0.0332,0.039,0.0492,0.0615,0.0895,0.1089,0.112,0.1382,0.0391,0.0107,0.257,0.1931
3250,5400,0.0323,0.033,0.0389,0.0488,0.061,0.0882,0.1075,0.1107,0.1361,0.0381,0.0107,0.2584,0.194
3300,5400,0.0327,0.0324,0.0381,0.0481,0.0597,0.0853,0.1042,0.1077,0.1319,0.0368,0.0107,0.2566,0.1939
3350,5400,0.0331,0.0328,0.0386,0.0494,0.0606,0.0858,0.104,0.1084,0.1329,0.0361,0.0107,0.2583,0.1951
3400,5400,0.0331,0.0332,0.0393,0.05,0.0624,0.0909,0.1098,0.1143,0.1399,0.0365,0.0108,0.2645,0.1995
3450,5400,0.0324,0.0338,0.0409,0.0502,0.0644,0.0971,0.1173,0.1203,0.1463,0.0367,0.0108,0.2519,0.1863
3500,5400,0.0323,0.0332,0.0407,0.0487,0.0638,0.0984,0.1182,0.1213,0.1473,0.0368,0.0108,0.2381,0.1733
3550,5400,0.0336,0.0368,0.0437,0.0534,0.065,0.0929,0.1106,0.1121,0.137,0.036,0.0108,0.2336,0.171
3600,5400,0.0354,0.0408,0.0475,0.058,0.0679,0.0925,0.1088,0.1098,0.1335,0.0353,0.0108,0.2304,0.1676
3650,5400,0.0361,0.041,0.0474,0.0577,0.0668,0.089,0.1048,0.1057,0.1279,0.0346,0.0109,0.2312,0.1709
3700,5400,0.0344,0.0362,0.0413,0.0507,0.0593,0.0791,0.0946,0.0949,0.1154,0.0335,0.0108,0.2257,0.1685
3750,5400,0.0315,0.0311,0.0353,0.0444,0.0535,0.0724,0.0881,0.0885,0.1094,0.0335,0.0108,0.2245,0.1671
3800,5400,0.0303,0.0307,0.0364,0.0472,0.0603,0.0878,0.1077,0.11,0.1359,0.0379,0.0108,0.2448,0.1771
3850,5400,0.0303,0.032,0.0399,0.0493,0.0689,0.1118,0.1361,0.14,0.1692,0.0431,0.0109,0.2443,0.1639
3900,5400,0.0313,0.0327,0.0401,0.0522,0.0688,0.1051,0.1298,0.1338,0.165,0.0445,0.0109,0.2695,0.1867
3950,5400,0.0342,0.0363,0.0441,0.0562,0.071,0.1019,0.1234,0.1269,0.1559,0.043,0.0109,0.2593,0.1824
4000,5400,0.0396,0.0475,0.0564,0.0691,0.0823,0.1117,0.1316,0.1321,0.1593,0.043,0.0109,0.2482,0.1782
4050,5400,0.0447,0.0521,0.0626,0.0748,0.0907,0.1303,0.1531,0.1514,0.1814,0.0455,0.0108,0.2477,0.1742
4100,5400,0.0434,0.0488,0.0619,0.0691,0.0924,0.1714,0.209,0.204,0.2433,0.0533,0.0107,0.2232,0.1441
4150,5400,0.0379,0.0352,0.0503,0.0461,0.0819,0.2281,0.292,0.2858,0.3376,0.0643,0.0107,0.1884,0.0994
4200,5400,0.0331,0.0298,0.0464,0.0373,0.0797,0.2512,0.3238,0.3174,0.3736,0.072,0.0106,0.1897,0.09
4250,5400,0.0312,0.033,0.0493,0.0431,0.0818,0.227,0.2887,0.2826,0.3328,0.0738,0.0107,0.203,0.1064
4300,5400,0.036,0.0461,0.058,0.0649,0.0861,0.1583,0.1937,0.1884,0.2266,0.0632,0.0107,0.2277,0.1505
4350,5400,0.0416,0.0495,0.0587,0.0713,0.0845,0.1196,0.1419,0.1406,0.1699,0.0504,0.0106,0.2391,0.1721
4400,5400,0.0395,0.0417,0.0491,0.0597,0.0723,0.1016,0.1206,0.1205,0.1455,0.0432,0.0106,0.2228,0.1596
4450,5400,0.0363,0.0388,0.0461,0.0561,0.0693,0.0997,0.1192,0.1196,0.1447,0.0402,0.0106,0.2226,0.1575
4500,5400,0.0356,0.0378,0.046,0.0555,0.0708,0.1059,0.1267,0.1271,0.1549,0.0402,0.0106,0.2289,0.1581
4550,5400,0.0362,0.0378,0.0481,0.0555,0.0752,0.1226,0.146,0.147,0.1769,0.0423,0.0106,0.2339,0.158
4600,5400,0.037,0.04,0.0496,0.058,0.0763,0.1202,0.1428,0.1428,0.1726,0.044,0.0107,0.2417,0.1697
4650,5400,0.0386,0.0432,0.0518,0.0626,0.0774,0.1114,0.1318,0.1309,0.1594,0.043,0.0107,0.248,0.1806
4700,5400,0.0394,0.042,0.0512,0.0627,0.0785,0.1141,0.1361,0.1362,0.1655,0.0429,0.0107,0.25,0.1773
4750,5400,0.0379,0.0373,0.0471,0.056,0.0758,0.1221,0.1467,0.1467,0.1783,0.0446,0.0107,0.2418,0.1646
4800,5400,0.0366,0.0374,0.0487,0.0552,0.079,0.1365,0.1642,0.1638,0.1974,0.0472,0.0107,0.2356,0.1547
4850,5400,0.037,0.0434,0.0557,0.0656,0.0884,0.1432,0.1699,0.1689,0.2046,0.0493,0.0107,0.2433,0.1602
4900,5400,0.0374,0.0416,0.053,0.0647,0.0863,0.1335,0.1596,0.1591,0.1937,0.0496,0.0107,0.2456,0.1609
4950,5400,0.0368,0.0379,0.0479,0.06,0.0797,0.1203,0.1446,0.1451,0.1778,0.0474,0.0106,0.2448,0.1621
5000,5400,0.0368,0.0395,0.05,0.0614,0.0814,0.1234,0.1475,0.148,0.1799,0.0464,0.0107,0.243,0.1614
5050,5400,0.0374,0.0408,0.0512,0.0622,0.0814,0.1208,0.1433,0.1436,0.1744,0.045,0.0107,0.2359,0.1583
5100,5400,0.0375,0.0386,0.0476,0.0586,0.0755,0.1126,0.1337,0.134,0.164,0.0443,0.0107,0.2309,0.1582
5150,5400,0.0364,0.0352,0.0454,0.0544,0.0754,0.1227,0.1474,0.1493,0.1803,0.0454,0.0107,0.2188,0.1385
5200,5400,0.0349,0.0354,0.047,0.0563,0.0797,0.1312,0.1589,0.1609,0.1937,0.0474,0.0107,0.213,0.1259
5250,5400,0.0351,0.0392,0.0522,0.0622,0.0873,0.1443,0.174,0.1765,0.211,0.0494,0.0107,0.2278,0.1347
5300,5400,0.0387,0.0418,0.0531,0.0629,0.0843,0.1365,0.1637,0.1634,0.1969,0.0489,0.0107,0.2363,0.1548
5350,5400,0.0423,0.0439,0.0551,0.0666,0.0859,0.129,0.1544,0.1526,0.1849,0.0478,0.0107,0.2368,0.1598
5400,5400,0.0412,0.0392,0.0496,0.0601,0.0799,0.122,0.1461,0.1451,0.1766,0.0465,0.0107,0.2298,0.1498
5450,5400,0.0369,0.0366,0.0463,0.0554,0.0746,0.1162,0.1398,0.1401,0.1696,0.0448,0.0107,0.229,0.1491
5500,5400,0.0356,0.0391,0.049,0.0593,0.0784,0.1196,0.1437,0.1452,0.1753,0.044,0.0108,0.2459,0.165
5550,5400,0.0368,0.042,0.0518,0.0633,0.0804,0.1192,0.1425,0.1429,0.1731,0.0445,0.0108,0.2552,0.1766
